Setor_Empresa,Categoria_Setor_empresa,Setor_Empresa_ID
Jogos Eletrônicos,Outros,SEMP001
Software,Tecnologia & TI,SEMP002
Tecnologia Da Informação & Serviços,Tecnologia & TI,SEMP003
Farmacêutico,Saúde & Farmacêutico,SEMP004
Consultoria Em Gestão,Consultoria & Serviços,SEMP005
Biotecnologia,Saúde & Farmacêutico,SEMP006
Relações Públicas & Comunicação,Outros,SEMP007
Relações Governamentais,Outros,SEMP008
Internet & Serviços Online,Tecnologia & TI,SEMP009
Produtos De Luxo & Joalheria,Outros,SEMP010
Pesquisa,Educação & Pesquisa,SEMP011
Equipamentos De Comunicação,Outros,SEMP012
Maquinário,Outros,SEMP013
Ensino Superior,Outros,SEMP014
Engenharia Industrial,Manufatura & Industrial,SEMP015
Manufatura Eletrônica,Manufatura & Industrial,SEMP016
Serviços Ambientais,Outros,SEMP017
Cosméticos,Outros,SEMP018
Seguros,Outros,SEMP019
Design,Outros,SEMP020
Segurança Da Informação,Tecnologia & TI,SEMP021
Restaurantes,Outros,SEMP022
Segurança De Dados,Tecnologia & TI,SEMP023
,Não Informado,SEMP024
Saúde & Bem-Estar,Saúde & Farmacêutico,SEMP025
Varejo,Varejo & Consumo,SEMP026
Automação Industrial,Outros,SEMP027
Transporte & Logística,Outros,SEMP028
Saúde & Hospitais,Saúde & Farmacêutico,SEMP029
Contabilidade,Outros,SEMP030
Serviços De Energia Renovável,Outros,SEMP031
Hardware De Computador,Outros,SEMP032
Private Equity & Venture Capital,Outros,SEMP033
Têxtil,Outros,SEMP034
Marketing & Publicidade,Mídia & Marketing,SEMP035
"Tecnologia, Informação & Mídia",Outros,SEMP036
Vestuário & Moda,Outros,SEMP037
Produção De Alimentos,Outros,SEMP038
Automotivo,Manufatura & Industrial,SEMP039
Administração Pública,Outros,SEMP040
Treinamento Técnico,Outros,SEMP041
Bens De Consumo,Outros,SEMP042
Turismo & Lazer,Outros,SEMP043
Supermercados,Outros,SEMP044
Serviços Financeiros,Serviços Financeiros,SEMP045
Serviços De Engenharia,Manufatura & Industrial,SEMP046
Vinhos & Bebidas,Outros,SEMP047
