Data_ID,Data_Completa,Ano,Mes,Dia,Trimestre,Semana,Dia_Semana
DAT001,2025-02-13 15:24:00,2025,2,13,1,7,Thursday
DAT002,2025-02-13 15:23:52,2025,2,13,1,7,Thursday
DAT003,2025-02-13 15:23:46,2025,2,13,1,7,Thursday
DAT004,2025-02-13 15:23:38,2025,2,13,1,7,Thursday
DAT005,2025-02-13 15:23:31,2025,2,13,1,7,Thursday
DAT006,2025-02-13 15:23:24,2025,2,13,1,7,Thursday
DAT007,2025-02-13 15:23:16,2025,2,13,1,7,Thursday
DAT008,2025-02-13 15:23:08,2025,2,13,1,7,Thursday
DAT009,2025-02-13 15:23:00,2025,2,13,1,7,Thursday
DAT010,2025-02-13 15:22:48,2025,2,13,1,7,Thursday
DAT011,2025-02-13 15:22:40,2025,2,13,1,7,Thursday
DAT012,2025-02-13 15:22:33,2025,2,13,1,7,Thursday
DAT013,2025-02-13 15:22:24,2025,2,13,1,7,Thursday
DAT014,2025-02-13 15:22:15,2025,2,13,1,7,Thursday
DAT015,2025-02-13 15:21:53,2025,2,13,1,7,Thursday
DAT016,2025-02-13 15:20:53,2025,2,13,1,7,Thursday
DAT017,2025-02-06 20:36:26,2025,2,6,1,6,Thursday
DAT018,2025-02-06 20:36:25,2025,2,6,1,6,Thursday
DAT019,2025-02-06 20:36:24,2025,2,6,1,6,Thursday
DAT020,2025-02-06 20:36:23,2025,2,6,1,6,Thursday
DAT021,2025-02-06 20:36:22,2025,2,6,1,6,Thursday
DAT022,2025-02-06 20:36:21,2025,2,6,1,6,Thursday
DAT023,2025-02-06 20:36:20,2025,2,6,1,6,Thursday
DAT024,2025-02-06 20:36:19,2025,2,6,1,6,Thursday
DAT025,2025-02-06 20:36:18,2025,2,6,1,6,Thursday
DAT026,2025-02-06 20:36:17,2025,2,6,1,6,Thursday
DAT027,2025-02-06 20:36:16,2025,2,6,1,6,Thursday
DAT028,2025-02-06 20:36:15,2025,2,6,1,6,Thursday
DAT029,2025-02-06 20:36:14,2025,2,6,1,6,Thursday
DAT030,2025-02-06 20:36:13,2025,2,6,1,6,Thursday
DAT031,2025-01-31 16:36:48,2025,1,31,1,5,Friday
DAT032,2025-01-31 16:35:26,2025,1,31,1,5,Friday
